week,speed
1,47.12
2,45.01
3,44.69
4,45.41
5,45.45
6,44.77
7,45.24
8,45.27
9,46.93
10,47.97
11,45.27
12,45.1
13,43.31
14,44.97
15,45.31
16,45.23
17,42.92
18,44.99
19,45.12
20,46.67
21,44.62
22,45.11
23,45.18
24,45.91
25,48.39
26,46.74
27,46.62
28,45.31
29,44.69
30,46.39
31,43.79
32,44.28
33,46.04
34,46.45
35,46.31
36,45.65
37,46.28
38,44.11
39,46.0
40,46.7
41,47.84
42,48.24
43,45.59
44,46.56
45,45.02
46,43.67
47,44.53
48,44.37
49,44.62
50,46.71
51,45.71
52,43.84
53,45.09
54,44.16
55,46.21
56,45.11
57,46.16
58,46.5
59,44.88
60,45.68
61,44.4
62,44.17
63,45.18
64,43.73
65,45.14
66,47.98
67,46.52
68,46.89
69,46.01
70,44.98
71,45.76
72,45.38
73,45.33
74,44.07
75,44.02
76,45.69
77,44.59
78,43.45
79,44.75
80,45.46
81,43.73
82,44.15
83,44.05
84,44.83
85,43.93
86,44.4
87,45.25
88,44.8
89,44.75
90,44.5
91,45.12
92,45.28
93,45.15
94,46.24
95,46.15
96,46.57
97,45.51
98,46.98
99,46.64
100,44.31
