HORA (UTC),"VENTO, DIREï¿½ï¿½O HORARIA (gr) (ï¿½ (gr))","VENTO, VELOCIDADE HORARIA (m/s)",UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),TEMPERATURA Mï¿½XIMA NA HORA ANT. (AUT) (ï¿½C),TEMPERATURA Mï¿½NIMA NA HORA ANT. (AUT) (ï¿½C),"UMIDADE RELATIVA DO AR, HORARIA (%)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRECIPITAï¿½ï¿½O TOTAL, HORï¿½RIO (mm)","VENTO, RAJADA MAXIMA (m/s)",PRESSï¿½O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSï¿½O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
00:00,-0.3090169943749477,3.4,95.0,94.0,19.4,19.2,95.0,881.8,0.0,5.8,881.8,881.0
01:00,-0.4383711467890778,2.2,95.0,93.0,19.3,19.2,93.0,882.4,0.0,5.6,882.4,881.7
02:00,-0.22495105434386534,3.0,95.0,93.0,19.3,19.1,95.0,882.7,0.0,5.6,882.7,882.4
03:00,-0.7660444431189781,3.7,97.0,95.0,19.1,18.1,96.0,882.6,6.0,7.9,882.9,882.6
04:00,-0.4226182617406992,2.4,97.0,96.0,18.2,17.7,96.0,882.0,3.0,6.7,882.6,882.0
05:00,-0.544639035015027,2.6,97.0,96.0,18.2,17.7,97.0,881.7,2.0,4.8,882.0,881.6
06:00,-0.7660444431189781,2.3,97.0,96.0,18.2,17.7,97.0,881.3,3.4,6.0,881.7,881.3
07:00,-0.5591929034707466,2.0,97.0,96.0,18.0,17.8,96.0,880.8,0.0,4.7,881.3,880.8
08:00,-0.529919264233205,3.2,96.0,95.0,18.0,17.8,96.0,880.9,0.0,6.7,880.9,880.7
09:00,-0.5000000000000004,2.8,96.0,96.0,17.9,17.8,96.0,881.4,0.0,6.4,881.4,880.9
10:00,-0.12186934340514723,3.7,97.0,96.0,18.7,17.9,97.0,881.9,0.0,6.3,881.9,881.4
11:00,-0.27563735581699894,2.5,97.0,92.0,19.5,18.7,95.0,882.3,0.0,6.3,882.3,881.9
12:00,-0.24192189559966787,2.9,95.0,89.0,20.3,19.2,89.0,882.8,0.0,5.2,882.8,882.3
13:00,-0.1736481776669304,3.7,90.0,81.0,21.9,20.2,83.0,882.8,0.0,6.6,882.8,882.7
14:00,-0.529919264233205,2.6,90.0,78.0,21.9,20.6,89.0,882.4,1.4,5.9,882.8,882.4
15:00,-0.12186934340514723,3.3,91.0,75.0,23.6,20.6,76.0,881.8,0.2,7.5,882.5,881.8
16:00,-0.5150380749100545,3.1,87.0,66.0,24.6,20.4,84.0,881.1,1.6,7.7,881.8,881.1
17:00,-0.08715574274765832,5.0,95.0,83.0,21.7,19.7,87.0,880.4,7.0,8.2,881.1,880.4
18:00,0.13917310096006544,5.5,89.0,75.0,23.0,21.1,75.0,879.5,0.0,8.9,880.4,879.5
19:00,0.08715574274765817,3.9,81.0,75.0,22.5,21.8,80.0,879.3,0.0,8.3,879.5,879.2
20:00,-0.22495105434386534,4.1,88.0,79.0,22.0,19.7,88.0,879.4,0.0,8.1,879.4,879.1
